name,loss_trian,loss_val,loss_test,acc_train,acc_val,acc_test,total_time
densegcn_0.5_pubmed_1_64,0.27380770444869995,0.27860909700393677,0.2694467306137085,0.9081627051655048,0.906,0.9,96.6543s
densegcn_0.5_pubmed_1_128,0.17141060531139374,0.25856930017471313,0.26694047451019287,0.9437338749519679,0.908,0.913,111.2418s
densegcn_0.5_pubmed_1_256,0.11194602400064468,0.287553608417511,0.2689930200576782,0.9672284130208048,0.91,0.907,198.5083s
mutigcn_0.3_pubmed_1_64,0.15302634239196777,0.28852081298828125,0.3081941306591034,0.9500466597134545,0.914,0.896,21.2871s
mutigcn_0.3_pubmed_1_128,0.10832314193248749,0.3101979196071625,0.30106234550476074,0.9641543613108635,0.896,0.899,21.7991s
mutigcn_0.3_pubmed_1_256,0.09284612536430359,0.3073332607746124,0.6143991947174072,0.9695339518032607,0.9,0.791,23.7827s
mutigcn_0.3_pubmed_4_64,0.29904094338417053,0.33326593041419983,0.3453957736492157,0.9119503760223967,0.902,0.889,27.6883s
mutigcn_0.3_pubmed_4_128,0.22031013667583466,0.3508869707584381,0.34090176224708557,0.9365976834824614,0.9,0.89,27.6039s
mutigcn_0.3_pubmed_4_256,0.20517688989639282,0.39800137281417847,1.0064529180526733,0.9425262117802053,0.892,0.40900000000000003,34.9390s
mutigcn_0.3_pubmed_16_64,0.9108282923698425,0.8469202518463135,0.8733488917350769,0.5155623867815776,0.544,0.512,50.0330s
mutigcn_0.3_pubmed_16_128,0.9513334631919861,0.8336119651794434,0.7140202522277832,0.5776472525662842,0.666,0.723,51.4844s
mutigcn_0.3_pubmed_16_256,0.8714090585708618,0.8905877470970154,1.0215555429458618,0.5990558269748038,0.582,0.499,80.0147s
mutigcn_1.0_pubmed_1_64,0.11239608377218246,0.3502510190010071,0.7119724750518799,0.9646484053356754,0.898,0.742,13.2784s
mutigcn_1.0_pubmed_1_128,0.08594333380460739,0.36347490549087524,0.43151870369911194,0.973266728879618,0.892,0.891,13.5372s
mutigcn_1.0_pubmed_1_256,0.07125946879386902,0.38704773783683777,0.49143949151039124,0.9787012131525498,0.884,0.849,15.9312s
mutigcn_1.0_pubmed_4_64,0.22138582170009613,0.32648029923439026,0.316488116979599,0.9320963934786188,0.904,0.889,19.2844s
mutigcn_1.0_pubmed_4_128,0.18159343302249908,0.3473106026649475,0.7562980055809021,0.9477411209309985,0.906,0.704,19.7613s
mutigcn_1.0_pubmed_4_256,0.25861287117004395,0.639640748500824,1.0365030765533447,0.9257836087171324,0.81,0.40800000000000003,28.1305s
mutigcn_1.0_pubmed_16_64,0.48156771063804626,0.5010427236557007,0.5654914379119873,0.8381731349838063,0.834,0.8170000000000001,42.4612s
mutigcn_1.0_pubmed_16_128,0.6671665906906128,0.8941773772239685,1.6787426471710205,0.7002250645001922,0.614,0.18,45.2410s
mutigcn_1.0_pubmed_16_256,0.6407073736190796,12.393651008605957,1.0407626628875732,0.746006477466103,0.358,0.40700000000000003,77.1210s
densegcn_1.0_pubmed_1_64,0.20055510103702545,0.28359389305114746,0.26736515760421753,0.9356095954328375,0.9,0.901,85.9436s
densegcn_1.0_pubmed_1_128,0.12168077379465103,0.28331080079078674,0.27488401532173157,0.9640445737497941,0.908,0.907,104.5698s
densegcn_1.0_pubmed_1_256,0.08043023198843002,0.2967250347137451,0.29551419615745544,0.9784816380304111,0.908,0.908,195.0030s
densegcn_0.2_cora_1_64,0.5586191415786743,0.4724453389644623,0.5299003720283508,0.8377483443708609,0.884,0.869,18.2857s
densegcn_0.2_cora_1_128,0.4167254567146301,0.4002097249031067,0.4666028320789337,0.8791390728476821,0.888,0.87,18.5148s
densegcn_0.2_cora_1_256,0.3668152689933777,0.39329469203948975,0.44744765758514404,0.8915562913907285,0.876,0.874,18.6170s
densegcn_0.2_cora_4_64,0.5549888610839844,0.44473639130592346,0.5360642671585083,0.8278145695364238,0.884,0.878,49.8205s
densegcn_0.2_cora_4_128,0.4398416578769684,0.4083174765110016,0.4827204644680023,0.8617549668874173,0.886,0.875,50.3174s
densegcn_0.2_cora_4_256,0.3506813943386078,0.3941079378128052,0.4492567777633667,0.902317880794702,0.878,0.871,57.8446s
densegcn_0.2_cora_16_64,2.3072197437286377,1.7819949388504028,1.7762430906295776,0.24172185430463577,0.432,0.324,185.7536s
mutigcn_0.7_cora_1_64,0.6425918936729431,0.45439714193344116,0.54056715965271,0.8004966887417219,0.864,0.867,10.0138s
mutigcn_0.7_cora_1_128,0.5125124454498291,0.44056788086891174,0.49340683221817017,0.8451986754966887,0.852,0.863,10.0421s
mutigcn_0.7_cora_1_256,0.47083958983421326,0.4543280005455017,0.5117262005805969,0.8576158940397351,0.856,0.856,10.2111s
mutigcn_0.7_cora_4_64,1.832869529724121,1.8379679918289185,1.8298081159591675,0.2913907284768212,0.294,0.319,14.2510s
mutigcn_0.7_cora_4_128,1.835659384727478,1.8384733200073242,1.8291741609573364,0.2913907284768212,0.294,0.319,14.3028s
mutigcn_0.7_cora_4_256,1.8332072496414185,1.83805513381958,1.8286325931549072,0.2913907284768212,0.294,0.319,14.5026s
mutigcn_0.7_cora_16_64,26214484.0,1.8380430936813354,1.8256080150604248,0.2913907284768212,0.294,0.319,31.1742s
mutigcn_0.7_cora_16_128,5063066.5,1.8379976749420166,1.825523018836975,0.2913907284768212,0.294,0.319,31.1774s
mutigcn_0.7_cora_16_256,491005575168.0,1.838056206703186,1.8258014917373657,0.2913907284768212,0.294,0.319,30.8062s
mutigcn_1.0_cora_1_64,0.40759748220443726,0.4952991008758545,0.5722993016242981,0.8816225165562914,0.848,0.852,7.9030s
mutigcn_1.0_cora_1_128,0.3017801344394684,0.5037543177604675,0.582297146320343,0.9031456953642384,0.85,0.852,7.8215s
mutigcn_1.0_cora_1_256,0.2505912780761719,0.46820181608200073,0.5524163246154785,0.9312913907284768,0.848,0.859,7.8159s
mutigcn_1.0_cora_4_64,1.8329598903656006,1.8376232385635376,1.8327163457870483,0.2913907284768212,0.294,0.319,12.1158s
mutigcn_1.0_cora_4_128,1.8356294631958008,1.8375699520111084,1.7429993152618408,0.2913907284768212,0.294,0.319,11.9090s
mutigcn_1.0_cora_4_256,1.8325049877166748,1.8374509811401367,1.829078197479248,0.2913907284768212,0.294,0.319,11.9618s
mutigcn_1.0_cora_16_64,1.8348498344421387,1.8380038738250732,1.8282889127731323,0.2913907284768212,0.294,0.319,28.8492s
mutigcn_1.0_cora_16_128,5428462747648.0,1.8380488157272339,1.8257206678390503,0.2913907284768212,0.294,0.319,29.5067s
mutigcn_1.0_cora_16_256,1.834567666053772,1.8379194736480713,1.831839680671692,0.2913907284768212,0.294,0.319,29.9290s
densegcn_1.0_cora_1_64,0.2533809244632721,0.4920508861541748,0.5541216135025024,0.9221854304635762,0.862,0.851,17.0034s
densegcn_1.0_cora_1_128,0.19541500508785248,0.5299140810966492,0.5381873846054077,0.9379139072847682,0.86,0.866,16.8021s
densegcn_1.0_cora_1_256,0.20646357536315918,0.5080097913742065,0.47792646288871765,0.9263245033112583,0.87,0.867,16.9925s
densegcn_1.0_cora_4_64,0.2444145828485489,0.45908322930336,0.5117781162261963,0.9188741721854304,0.868,0.859,47.8436s
densegcn_1.0_cora_4_128,0.2541029155254364,0.5058991312980652,0.5013665556907654,0.9205298013245033,0.864,0.861,48.8164s
densegcn_1.0_cora_4_256,0.23158878087997437,0.5075257420539856,0.5119126439094543,0.9221854304635762,0.856,0.854,57.1207s
densegcn_1.0_cora_16_64,0.3104870617389679,0.5079925656318665,0.5777268409729004,0.902317880794702,0.86,0.837,187.7941s
densegcn_1.0_cora_16_128,0.2859303057193756,0.47821301221847534,0.5899113416671753,0.9072847682119205,0.866,0.852,233.0183s
densegcn_1.0_cora_16_256,0.29150667786598206,0.5759541392326355,0.592432975769043,0.9056291390728477,0.848,0.849,363.6280s
densegcn_0.6_citeseer_1_64,0.00886059831827879,2.2231390476226807,0.720816433429718,0.9983443708609272,0.712,0.778,19.7771s
densegcn_0.6_citeseer_1_128,0.012792096473276615,2.217881679534912,0.6992751359939575,0.9966887417218543,0.7000000000000001,0.786,19.9063s
densegcn_0.6_citeseer_1_256,0.010317623615264893,2.233269214630127,0.6914545893669128,0.9972406181015453,0.7020000000000001,0.779,20.2414s
densegcn_0.6_citeseer_4_64,0.010010501369833946,2.194427728652954,0.6995803117752075,0.9966887417218543,0.716,0.779,34.5566s
densegcn_0.6_citeseer_4_128,0.009397830814123154,2.1013317108154297,0.7060496807098389,0.9972406181015453,0.712,0.786,34.5019s
densegcn_0.6_citeseer_4_256,0.009082969278097153,2.0454015731811523,0.7097404599189758,0.9972406181015453,0.7000000000000001,0.784,39.2005s
densegcn_0.6_citeseer_16_64,0.023905545473098755,2.1238574981689453,0.713269829750061,0.9922737306843267,0.72,0.785,97.5108s
densegcn_0.6_citeseer_16_128,0.02004432864487171,2.0358264446258545,0.7237028479576111,0.9966887417218543,0.728,0.787,120.3491s
densegcn_0.6_citeseer_16_256,0.012612584978342056,2.0876142978668213,0.6758133769035339,0.9983443708609272,0.716,0.784,206.3576s
mutigcn_0.05_citeseer_1_64,0.8419744372367859,1.0482512712478638,1.010912299156189,0.6804635761589404,0.6,0.642,16.5911s
mutigcn_0.05_citeseer_1_128,0.4267446994781494,0.9597833156585693,0.8344671130180359,0.8719646799116998,0.734,0.766,16.6785s
mutigcn_0.05_citeseer_1_256,0.3435326814651489,1.0322771072387695,1.8852307796478271,0.9056291390728477,0.706,0.181,16.9951s
mutigcn_0.05_citeseer_4_64,1.452581763267517,1.5479929447174072,1.5227373838424683,0.37637969094922735,0.34600000000000003,0.356,22.0304s
mutigcn_0.05_citeseer_4_128,1.298688292503357,1.4147989749908447,1.405989170074463,0.3769315673289183,0.364,0.301,22.3385s
mutigcn_0.05_citeseer_4_256,1.1126763820648193,1.4049288034439087,1.2718279361724854,0.5314569536423841,0.422,0.501,23.3007s
mutigcn_0.05_citeseer_16_64,1.7489354610443115,1.7576996088027954,1.7530241012573242,0.2119205298013245,0.182,0.231,43.4211s
mutigcn_0.05_citeseer_16_128,1.74933922290802,1.7573487758636475,1.755753517150879,0.2130242825607064,0.182,0.231,43.9682s
mutigcn_0.05_citeseer_16_256,1.6889369487762451,1.747830867767334,1.6232061386108398,0.26600441501103755,0.198,0.332,45.4863s
mutigcn_1.0_citeseer_1_64,0.5104588866233826,1.1851342916488647,0.8351548314094543,0.8504415011037527,0.712,0.754,14.9366s
mutigcn_1.0_citeseer_1_128,0.3508857190608978,1.313295841217041,1.5409175157546997,0.890728476821192,0.706,0.337,15.0649s
mutigcn_1.0_citeseer_1_256,0.28884896636009216,1.3344846963882446,2.0944576263427734,0.9177704194260485,0.6980000000000001,0.181,15.3805s
mutigcn_1.0_citeseer_4_64,1.1549586057662964,1.333933711051941,1.1777650117874146,0.5121412803532008,0.538,0.518,20.7113s
mutigcn_1.0_citeseer_4_128,0.7664230465888977,1.0613542795181274,0.9143633842468262,0.7726269315673289,0.708,0.736,21.0399s
mutigcn_1.0_citeseer_4_256,0.6148300766944885,1.214033603668213,0.9608944654464722,0.8195364238410596,0.6880000000000001,0.744,21.6944s
mutigcn_1.0_citeseer_16_64,1.6336637735366821,1.6032661199569702,1.584890604019165,0.31346578366445915,0.338,0.321,43.9896s
mutigcn_1.0_citeseer_16_128,1.5518391132354736,1.4745112657546997,1.4636831283569336,0.3504415011037528,0.326,0.373,44.2696s
mutigcn_1.0_citeseer_16_256,1.5100404024124146,1.426076889038086,1.471778154373169,0.3405077262693157,0.374,0.358,45.9880s
